,id,weather_state_name,weather_state_abbr,wind_direction_compass,created,applicable_date,min_temp,max_temp,the_temp,wind_speed,wind_direction,air_pressure,humidity,visibility,predictability
0,6283355251277824,Light Cloud,lc,SSE,2019-02-01T23:38:20.328036Z,2019-02-01,-12.903333333333334,-7.583333333333333,-7.460000000000001,4.1923004774496935,154.87391306218194,1022.505,84,10.90972470770699,70
1,5163551916294144,Light Cloud,lc,SSE,2019-02-01T20:36:19.715132Z,2019-02-01,-12.903333333333334,-7.746666666666667,-7.24,4.244591902449694,157.11870667754525,1022.005,83,13.066504115962776,70
2,4550565073780736,Light Rain,lr,SE,2019-02-01T17:34:20.151634Z,2019-02-01,-13.176666666666668,-9.316666666666666,-10.445,4.378084803905194,146.09544782828203,1021.44,85,13.066504115962776,75
3,5979997147758592,Light Rain,lr,SE,2019-02-01T14:32:21.704952Z,2019-02-01,-13.176666666666668,-9.316666666666666,-10.504999999999999,4.366900153905194,146.09544782828203,1021.44,85,12.969570209973753,75
4,5846816251707392,Light Rain,lr,S,2019-02-01T11:30:20.532541Z,2019-02-01,-14.156666666666666,-9.423333333333334,-11.54,4.968773136576393,168.7710905534541,1022.655,87,11.580494909727193,75
5,5339607591813120,Light Rain,lr,S,2019-02-01T08:28:19.297361Z,2019-02-01,-14.156666666666666,-9.423333333333334,-11.565000000000001,4.946403836576394,168.7710905534541,1022.655,87,11.884034737135131,75
6,4627062719512576,Light Rain,lr,S,2019-02-01T05:26:22.722230Z,2019-02-01,-14.156666666666666,-9.423333333333334,-7.455,6.327708111576394,179.02650770741366,1018.155,88,8.083107154219359,75
7,6403392003899392,Light Rain,lr,SSE,2019-02-01T02:24:23.055503Z,2019-02-01,-13.5,-7.183333333333333,-8.505,4.326377873614094,161.2136778101974,1020.475,85,13.222157599618228,75
8,5805162182475776,Light Rain,lr,SSW,2019-02-02T23:54:20.025356Z,2019-02-02,-1.0333333333333339,4.196666666666666,3.04,7.246561499878045,206.6364261456188,1011.85,89,7.875569176012089,75
9,6115355592228864,Light Rain,lr,SW,2019-02-02T20:52:19.336649Z,2019-02-02,-3.3150000000000004,3.7566666666666664,2.745,8.223756824423369,216.53038893355145,1012.72,89,7.875569176012089,75
10,5427654152945664,Light Rain,lr,SW,2019-02-02T17:50:20.908395Z,2019-02-02,-3.3150000000000004,3.7566666666666664,3.2649999999999997,8.458634474423366,216.53038893355145,1013.22,89,6.899395033007238,75
11,6355200189136896,Showers,s,SW,2019-02-02T14:48:20.473008Z,2019-02-02,-5.236666666666667,-0.8333333333333334,-3.0,8.938730215296669,213.7520583392753,1015.0,91,6.945997872425037,73
12,6056532122796032,Showers,s,SW,2019-02-02T11:46:20.435980Z,2019-02-02,-5.236666666666667,-0.8333333333333334,-3.085,8.882806965296668,213.7520583392753,1014.5,91,6.4113079615048125,73
13,5951475494682624,Showers,s,SSW,2019-02-02T08:44:19.658552Z,2019-02-02,-5.613333333333333,-1.0,-4.0,8.61499604436292,201.76402614648467,1016.9449999999999,93,5.199323451045892,73
